id,subject,treatment,fov,cell_type,roi_num,branch,spine,eventrate_pre,eventrate_post,amplitude_pre,amplitude_post,frequency_pre,frequency_post
1,Pons-1,psilocybin,FOV1,PT,1,1,NaN,0.755881862,0.817620557,1.495049505,1.498470948,0.505589855,0.545636576
1,Pons-1,psilocybin,FOV1,PT,23,2,NaN,0.507258468,0.483897881,1.567010309,1.435643564,0.323710996,0.337059903
1,Pons-1,psilocybin,FOV1,PT,35,3,NaN,0.762556316,0.543967963,1.428125,1.230188679,0.533956282,0.442182546
1,Pons-1,psilocybin,FOV1,PT,48,4,NaN,0.845986985,0.485566494,1.564814815,1.634831461,0.540630736,0.297013182
1,Pons-1,psilocybin,FOV1,PT,57,5,NaN,0.45886868,0.333722676,1.527777778,1.25,0.300350409,0.266978141
1,Pons-1,psilocybin,FOV1,PT,71,6,NaN,0.764224929,1.019522777,1.18961039,1.291754757,0.642416152,0.78925413
1,Pons-1,psilocybin,FOV1,PT,83,7,NaN,0.568997163,0.327048223,1.578703704,1.272727273,0.360420491,0.256966461
1,Pons-1,psilocybin,FOV1,PT,104,8,NaN,0.508927082,0.452194227,1.532663317,1.260465116,0.332054063,0.358751877
1,Pons-1,psilocybin,FOV1,PT,122,9,NaN,0.383781078,0.689137327,1.360946746,1.349673203,0.281995662,0.510595695
1,Pons-1,psilocybin,FOV1,PT,144,10,NaN,0.328716836,0.492240948,1.427536232,1.328828829,0.230268647,0.370432171
1,Pons-1,psilocybin,FOV2,PT,1,1,NaN,0.380443851,0.877690639,1.52,1.685897436,0.250292007,0.520607375
1,Pons-1,psilocybin,FOV2,PT,29,2,NaN,0.246954781,0.770899383,1.174603175,1.571428571,0.210245286,0.490572334
1,Pons-1,psilocybin,FOV2,PT,41,3,NaN,0.787585516,0.432170866,1.562913907,1.106837607,0.503921241,0.390455531
1,Pons-1,psilocybin,FOV2,PT,65,4,NaN,0.602369431,0.79926581,1.787128713,1.349295775,0.337059903,0.592357751
1,Pons-1,psilocybin,FOV2,PT,79,5,NaN,0.891039546,1.096278992,1.575221239,1.283203125,0.565659937,0.854330052
1,Pons-1,psilocybin,FOV2,PT,86,6,NaN,0.749207409,0.80927749,1.781746032,1.732142857,0.420490572,0.467211747
1,Pons-1,psilocybin,FOV2,PT,101,7,NaN,0.91273152,1.451693643,1.747603834,1.3964687,0.522275989,1.039546137
1,Pons-1,psilocybin,FOV2,PT,110,8,NaN,0.80927749,1.086267312,1.851145038,1.345041322,0.437176706,0.807608877
1,Pons-1,psilocybin,FOV2,PT,130,9,NaN,0.538962122,0.780911063,1.218867925,1.34870317,0.442182546,0.579008844
1,Pons-1,psilocybin,FOV2,PT,139,10,NaN,0.34540297,0.250292007,1.217647059,1.181102362,0.283664275,0.2119139
2,Pons-2,psilocybin,FOV1,PT,1,1,NaN,0.80927749,1.49007175,1.191646192,1.226648352,0.679125647,1.214750542
2,Pons-2,psilocybin,FOV1,PT,26,2,NaN,1.690305356,2.129150676,1.514200299,1.617237009,1.116302353,1.316535959
2,Pons-2,psilocybin,FOV1,PT,35,3,NaN,1.288169531,1.660270315,1.45112782,1.480654762,0.887702319,1.121308193
2,Pons-2,psilocybin,FOV1,PT,47,4,NaN,0.987819122,1.558484899,1.591397849,1.559265442,0.620724178,0.999499416
2,Pons-2,psilocybin,FOV1,PT,67,5,NaN,1.686968129,1.535124312,1.291187739,1.187096774,1.306524278,1.293175371
2,Pons-2,psilocybin,FOV1,PT,82,6,NaN,0.393792758,1.226430836,1.072727273,1.45256917,0.367094944,0.844318371
