mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,0,0.083333333
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0,0.176470588,0
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV15-1,0,-0.066666667,0.004761905
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-1,0,-0.15,0.016666667
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0,0.049707602,0.055555556
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0,0,0.133333333
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV21-1,0,0,0.125
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV1-1,0,-0.25,-0.25
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV6-1,0,0.102339181,0.049707602
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV8-1,0,-0.081818182,0
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,0,-0.05952381,0.087912088
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,0,-0.1,-0.1
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,0,0.166666667,0
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,0,0.0625,0.0625
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0,0,0.166666667
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0,0.083732057,0.083732057
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0,0.2,0
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0,-0.057142857,-0.128571429
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0,0,0.076923077
KO 3041,m,saline,ko,NA,NA,NA,NA,FOV3-1,0,-0.133333333,-0.133333333
KO 3041,m,saline,ko,cell1,cell1_2,cell1_2,720,FOV5-1,0,0,0
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,0,-0.109803922,-0.113970588
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,0,0.066666667,-0.046153846
KO 823,f,saline,ko,cell1,cell1_2,cell1_2,820,FOV9-1,0,-0.111111111,-0.111111111
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,0,-0.120833333,-0.044642857
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,0,0.153846154,0.166666667
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,0,0.076923077,0.076923077
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,0,-0.114035088,0.043859649
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,0,0.081818182,0.05
KO 823,f,saline,ko,cell5,cell5_3,cell5_3,670,FOV25-1,0,-0.023809524,-0.016666667
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,0,-0.151702786,-0.010526316
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,0,0.043478261,0.003952569
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,0,0.2,0.083333333
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,0,0.142857143,0
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,0,0.055555556,-0.052287582
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,0,0,-0.052287582
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,0,0,0.081818182
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,0,0.153846154,0.090909091
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,0,-0.090909091,0.181818182
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV7-2,0,-0.111111111,-0.111111111
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,0,0.1,0.1
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,0,0.039337474,0.144688645
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,0,-0.071428571,0.116071429
C57 1-2,f,psilocybin,c57,cell2,cell2_1,NA,560,FOV13-1,0,0.044736842,-0.021929825
C57 1-2,f,psilocybin,c57,cell3,cell3_2,cell3_2,650,FOV13-2,0,0.166666667,0.15
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0,0.054945055,-0.030769231
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,0,0.083333333,0.070512821
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,0,0,0.040247678
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,0,-0.102339181,-0.027459954
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,0,-0.006410256,0.104166667
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,0,-0.142857143,0.038961039
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,0,0.079365079,-0.142857143
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,0,0,0.116666667
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,0,0.181818182,0.25
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,0,0,0.083333333
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,0,0.012383901,-0.046439628
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,0,0.153846154,0.083333333
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,0,0,0.090909091
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,0,-0.214285714,-0.214285714
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,0,-0.042857143,-0.142857143
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0,-0.2,-0.2
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,0,0.075757576,-0.013986014
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,0,-0.116666667,-0.083333333
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,0,0,0
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,0,0,-0.0625
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,0,0,0
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV21-1,0,-0.011904762,-0.083333333
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,0,-0.1,-0.028571429
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,0,0,0
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0,0.076923077,0.071428571
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,0,-0.1875,0.034722222
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,0,-0.066666667,0
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,0,-0.25,-0.25
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,0,-0.076923077,-0.005494505
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,0,-0.009090909,-0.1
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,0,0.066666667,0.050980392
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,0,-0.090909091,-0.013986014
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,0,0.1,0.1
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,0,-0.081818182,-0.104895105
C57 3165,f,psilocybin,c57,cell2,cell2_1,cell2_1,530,FOV10-1,0,-0.159722222,-0.222222222
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,0,-0.047619048,0
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0,0.076388889,-0.111111111
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,0,0.082815735,0.039337474
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,0,0.006410256,0.065934066
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,0,-0.083333333,0
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,0,-0.173076923,-0.178571429
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,0,-0.104166667,-0.049019608
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,0,-0.166666667,0
C57 811,f,saline,c57,NA,NA,NA,NA,FOV13-1,0,-0.012820513,-0.166666667
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,0,0.125,0.142857143
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,0,0.052287582,0.052287582
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV3-1,0,0.005108557,0.079182631
C57 1-1,f,saline,c57,cell6,cell6_1,NA,770,FOV6-1,0,0.230769231,0
C57 1-1,f,saline,c57,cell4,cell4_1,cell4_1,800+,FOV7-1,0,0,0.076923077
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,0,0,0
C57 1-1,f,saline,c57,cell4,cell4_2,cell4_2,800+,FOV11-2,0,0.033333333,-0.041666667
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,0,0.010989011,0.023809524
C57 1-1,f,saline,c57,cell3,cell3_1,NA,730,FOV14-1,0,-0.13986014,-0.130769231
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,0,-0.010989011,-0.076923077
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,0,-0.285714286,-0.131868132
C57 1-1,f,saline,c57,cell7,cell7_2,cell7_2,690,FOV25-1,0,-0.166666667,-0.166666667
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,0,0,0.113970588
C57 1-1,f,saline,c57,cell12,cell12_1,NA,610,FOV32-1,0,0.044444444,0.144444444
C57 1-1,f,saline,c57,cell11,cell11_1,NA,740,FOV33-1,0,0.142857143,0.071428571
C57 1-1,f,saline,c57,cell16,cell16_1,NA,640,FOV39-1,0,0,0.147435897
C57 1-1,f,saline,c57,cell15,cell15_1,NA,770,FOV40-1,0,-0.155555556,-0.222222222
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV42-1,0,0.114035088,0.072368421
C57 1-1,f,saline,c57,cell14,cell14_1,cell14_1,660,FOV47-1,0,0.058333333,0.058333333
C57 1-1,f,saline,c57,cell14,cell14_2,cell14_2,660,FOV47-2,0,-0.050980392,0.049019608
C57 844,f,saline,c57,cell2,cell2_1,NA,640,FOV7-1,0,-0.142857143,-0.142857143
C57 844,f,saline,c57,cell3,cell3_1,NA,660,FOV9-1,0,-0.111111111,-0.011111111
C57 844,f,saline,c57,NA,NA,NA,NA,FOV12-1,0,0.133333333,0.153846154
C57 3163,f,saline,c57,cell1,cell1_1,NA,500,FOV4-1,0,0.222222222,0.111111111
C57 3163,f,saline,c57,cell2,cell2_1,cell2_1,NA,FOV7-1,0,-0.1,0
C57 3163,f,saline,c57,cell2,cell2_2,cell2_2,NA,FOV7-2,0,0,0
C57 3163,f,saline,c57,cell2,cell2_3,cell2_3,NA,FOV8-1,0,0.213903743,0.058823529
C57 3163,f,saline,c57,cell2,cell2_4,cell2_4,NA,FOV9-1,0,0,0
C57 JAX,m,saline,c57,cell2,cell2_1,NA,490,FOV1-1,0,0.088888889,-0.066666667
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,0,0.273809524,0
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,0,0,0.00952381
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,0,-0.053913043,0.117753623
C57 JAX,m,saline,c57,cell5,cell5_1,cell5_1,484,FOV9-1,0,0.116071429,-0.071428571
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,0,-0.046783626,0.00877193
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,0,-0.235294118,-0.021008403
C57 JAX,m,saline,c57,cell6,cell6_1,cell6_1,530,FOV14-1,0,0.144736842,-0.042763158
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,0,-0.092436975,-0.172794118
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,0,-0.066889632,0.086153846
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,0,0.007246377,-0.071428571
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,0,-0.079051383,-0.102974828
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,0,0.052631579,-0.040247678
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,0,0.052631579,0.1
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,0,0,0.071428571
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,0,-0.015151515,-0.181818182
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV23-1,0,0,0.153846154
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,0,0,0.2
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,0,-0.066666667,-0.066666667
