mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,0,-0.109090909,0.05
KO 823,f,saline,ko,cell5,cell5_3,cell5_3,670,FOV25-1,0,-0.238095238,-0.233333333
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,0,0.13003096,0.094736842
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,0,0,-0.041501976
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,0,-0.071428571,0.178571429
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,0,0.065934066,-0.076923077
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,0,0,-0.111111111
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,0,-0.055555556,0.065359477
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,0,0.1,0.081818182
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,0,-0.104895105,0
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,0,0.3,0.090909091
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV7-2,0,0,0.125
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,0,-0.011111111,-0.011111111
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,0,0.074534161,-0.027472527
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,0,0.230769231,0.125
C57 1-2,f,psilocybin,c57,cell2,cell2_1,NA,560,FOV13-1,0,0.042105263,-0.11622807
C57 1-2,f,psilocybin,c57,cell3,cell3_2,cell3_2,650,FOV13-2,0,-0.007936508,-0.185714286
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0,-0.005494505,-0.01025641
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,0,0.166666667,0.147435897
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,0,0.117647059,-0.06501548
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,0,0.228070175,-0.097133077
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,0,0.141025641,0.083333333
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,0,0.428571429,0.038961039
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,0,0.142857143,-0.087301587
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,0,0.25,-0.016666667
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,0,0.172727273,0.233333333
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,0,0.090909091,0
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,0,0.117647059,0.117647059
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,0,-0.006410256,0.070512821
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,0,0.097222222,-0.034090909
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,0,0.181818182,0.153846154
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,0,0.154761905,0.078674948
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0,0.375,0.090909091
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,0,0.068181818,-0.027972028
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,0,0.145833333,-0.076388889
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,0,0.125,0.111111111
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,0,0,0.125
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,0,0.272727273,0.071428571
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV21-1,0,-0.107142857,-0.25
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,0,0.1,0.15
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,0,0.090909091,0.062937063
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0,0.070512821,0.273809524
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,0,0.223214286,0.048611111
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,0,0.071428571,0.066666667
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,0,-0.102564103,-0.020833333
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,0,0.166666667,0.071428571
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,0,0.072727273,-0.046153846
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,0,0.2,-0.007843137
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,0,0.090909091,-0.090909091
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,0,0.1,0.1
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,0,0.309090909,0.216783217
C57 3165,f,psilocybin,c57,cell2,cell2_1,cell2_1,530,FOV10-1,0,-0.048611111,0.013888889
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,0,-0.047619048,0.047619048
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0,0.125,0.133333333
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,0,-0.01242236,-0.099378882
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,0,0.25,0.285714286
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,0,0.090909091,0.166666667
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,0,0.028846154,0.089285714
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,0,-0.104166667,-0.049019608
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,0,0.007575758,-0.083333333
C57 811,f,saline,c57,NA,NA,NA,NA,FOV13-1,0,-0.173076923,-0.25
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,0,-0.066666667,0.004761905
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,0,-0.006535948,-0.117647059
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV3-1,0,0.005108557,0.116219668
C57 1-1,f,saline,c57,cell6,cell6_1,NA,770,FOV6-1,0,-0.181818182,-0.081818182
C57 1-1,f,saline,c57,cell4,cell4_1,cell4_1,800+,FOV7-1,0,0,-0.153846154
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,0,0,0
C57 1-1,f,saline,c57,cell4,cell4_2,cell4_2,800+,FOV11-2,0,0,0
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,0,0.005494505,0.011904762
C57 1-1,f,saline,c57,cell3,cell3_1,NA,730,FOV14-1,0,-0.272727273,-0.172727273
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,0,-0.159340659,0
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,0,0.3,0.307692308
C57 1-1,f,saline,c57,cell7,cell7_2,cell7_2,690,FOV25-1,0,0.1,0
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,0,0.0625,0.055147059
C57 1-1,f,saline,c57,cell12,cell12_1,NA,610,FOV32-1,0,-0.066666667,-0.166666667
C57 1-1,f,saline,c57,cell11,cell11_1,NA,740,FOV33-1,0,-0.023809524,-0.166666667
C57 1-1,f,saline,c57,cell16,cell16_1,NA,640,FOV39-1,0,0.083333333,0.070512821
C57 1-1,f,saline,c57,cell15,cell15_1,NA,770,FOV40-1,0,-0.055555556,-0.055555556
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV42-1,0,0.055555556,0.125
C57 1-1,f,saline,c57,cell14,cell14_1,cell14_1,660,FOV47-1,0,-0.008333333,-0.008333333
C57 1-1,f,saline,c57,cell14,cell14_2,cell14_2,660,FOV47-2,0,0.266666667,0.166666667
C57 844,f,saline,c57,cell2,cell2_1,NA,640,FOV7-1,0,0,0.142857143
C57 844,f,saline,c57,cell3,cell3_1,NA,660,FOV9-1,0,0,-0.111111111
C57 844,f,saline,c57,NA,NA,NA,NA,FOV12-1,0,-0.071428571,0.005494505
C57 3163,f,saline,c57,cell1,cell1_1,NA,500,FOV4-1,0,-0.063492063,-0.285714286
C57 3163,f,saline,c57,cell2,cell2_1,cell2_1,NA,FOV7-1,0,-0.1,-0.1
C57 3163,f,saline,c57,cell2,cell2_2,cell2_2,NA,FOV7-2,0,0.2,0.263636364
C57 3163,f,saline,c57,cell2,cell2_3,cell2_3,NA,FOV8-1,0,-0.270334928,-0.052631579
C57 3163,f,saline,c57,cell2,cell2_4,cell2_4,NA,FOV9-1,0,0,0.161616162
C57 JAX,m,saline,c57,cell2,cell2_1,NA,490,FOV1-1,0,-0.077777778,0
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,0,-0.035714286,-0.25
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,0,-0.066666667,-0.061904762
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,0,-0.093913043,-0.09057971
C57 JAX,m,saline,c57,cell5,cell5_1,cell5_1,484,FOV9-1,0,-0.214285714,-0.06043956
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,0,0.005847953,0.061403509
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,0,0.076923077,0.142857143
C57 JAX,m,saline,c57,cell6,cell6_1,cell6_1,530,FOV14-1,0,-0.107894737,-0.032894737
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,0,0.012605042,0.191176471
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,0,0.165976536,0.232063492
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,0,-0.038043478,-0.077380952
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,0,-0.171936759,-0.164759725
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,0,-0.052631579,-0.099071207
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,0,0.105263158,0
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,0,0.076923077,0
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,0,-0.189393939,-0.161616162
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV23-1,0,-0.083333333,0.070512821
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,0,-0.111111111,-0.022222222
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,0,0.2,0.2
