mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0,0.004870454,0.064248689,0.224955009
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0,0.196151275,0.013139205,0.012893357
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0,-0.038688538,-0.008989626,0.048831501
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0,0.003376425,0.069407732,0.005929108
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,0,-0.037758279,-0.155203321,-0.019530144
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,0.080642101,0.170531163,-0.075152113
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,-0.17051407,0.012903286,0.018413186
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,0.006733237,0.046549216,0.057484813
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0,-0.076193357,-0.117465904,-0.152221733
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,0,-0.081126104,-0.08145927,-0.043844744
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,-0.083848122,0.009328591,-0.088309622
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0,-0.067525624,-0.01335779,-0.074616236
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV15-1,0,-0.102568447,-0.073597181,0.046331436
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-1,0,0.015507566,0.057046186,0.00709824
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0,-0.033690895,0.05021757,-0.001176056
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0,0.101006265,-0.053199165,0.013480159
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV21-1,0,0.018300837,0.040573713,-0.007995511
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV1-1,0,0.068817204,0.078648233,0.188325653
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV6-1,0,0.073955468,0.125946577,0.089238845
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV8-1,0,-0.019926414,-0.01510457,-0.023216284
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,0,0.04800535,0.151886843,0.220196557
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,0,0.125927592,0.239224946,-0.031153241
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,0,-0.095047923,-0.02313099,-0.074644206
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,0,-0.008781501,-0.20517739,-0.114106715
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0,0.030764928,-0.140889386,-0.117046567
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0,-0.018689755,0.048207792,-0.032126984
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0,0.119635891,-0.0218899,-0.041257832
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0,0.116038819,0.005061046,-0.152092247
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0,0.045332356,-0.083944282,-0.027065005
KO 3041,m,saline,ko,NA,NA,NA,NA,FOV3-1,0,0.098543251,0.190786326,0.137753203
