mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0.875333,0.870776,0.858450,0.807300
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0.895360,0.892200,0.818400,0.866400
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0.868704,0.874300,0.904080,0.849067
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,0.879200,0.941520,0.943733,0.864533
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.885000,0.834462,0.865400,0.903600
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0.823543,0.854700,0.807877,0.772431
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.909408,0.903861,0.900313,0.905472
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0.872000,0.794400,0.849067,0.844267
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,0.736800,0.776727,0.729382,0.767760
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0.765382,0.704200,0.799200,0.778800
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0.912686,0.891000,0.867953,0.847040
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV15-1,0.826080,0.756857,0.817886,0.853920
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-1,0.813000,0.824894,0.841867,0.794954
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0.861200,0.824589,0.911867,0.851733
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0.877108,0.793477,0.897440,0.822646
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV21-1,0.883200,0.813760,0.892350,0.844457
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV1-1,0.922500,0.850286,0.978171,0.949029
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV6-1,0.812400,0.777347,0.830274,0.794133
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV8-1,0.876000,0.905760,0.837382,0.953600
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,0.764057,0.786400,0.786646,0.746400
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,0.765360,0.723120,0.715400,0.654277
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,0.801867,0.788600,0.769440,0.856364
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,0.807200,0.797700,0.801000,0.794850
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0.892364,0.997964,0.927800,0.873840
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0.885474,0.863782,0.828109,0.867032
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0.813360,0.893040,0.821040,0.757091
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0.855360,0.881143,0.825600,0.839143
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0.885231,0.852185,0.966462,0.824400
KO 3041,m,saline,ko,NA,NA,NA,NA,FOV3-1,0.909120,0.915771,0.791314,0.935314
KO 3041,m,saline,ko,cell1,cell1_2,cell1_2,720,FOV5-1,1.027886,0.982971,0.989143,0.953486
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,0.907624,0.898080,0.907050,0.888160
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,0.801920,0.825600,0.841108,0.803520
KO 823,f,saline,ko,cell1,cell1_2,cell1_2,820,FOV9-1,0.819733,0.875100,0.937500,0.943500
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,0.898650,0.923829,0.916960,0.925200
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,0.909231,0.857169,0.922000,0.936720
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,0.872400,0.822831,0.837231,0.862720
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,0.790400,0.848337,0.866779,0.828565
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,0.840240,0.812945,0.840600,0.904909
KO 823,f,saline,ko,cell5,cell5_3,cell5_3,670,FOV25-1,0.821733,0.820114,0.855840,0.935495
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,0.884337,0.936565,0.928080,0.922320
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,0.896661,0.915443,0.881236,0.914514
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,0.861771,0.856000,0.882800,0.771257
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,0.858277,0.901200,0.829886,0.890057
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,0.843867,0.866667,0.869082,0.960300
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,0.995867,0.962133,0.924706,0.946611
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,0.919200,0.908160,0.876436,0.916145
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,0.873600,0.871200,0.852218,0.840000
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,0.831438,0.942003,0.934106,0.971826
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV7-2,0.972207,0.858420,0.950663,0.876269
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,0.963003,0.914393,1.055204,1.080304
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,0.891409,0.892360,0.966157,0.996365
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,0.961868,0.927155,1.015452,0.948111
C57 1-2,f,psilocybin,c57,cell2,cell2_1,NA,560,FOV13-1,0.756435,0.694141,0.798075,0.862021
C57 1-2,f,psilocybin,c57,cell3,cell3_2,cell3_2,650,FOV13-2,0.880114,0.909148,0.855157,0.946534
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,1.008634,0.947346,0.928365,1.003833
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,0.746098,0.761785,0.897422,0.872584
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,0.814864,0.776328,0.835830,0.881896
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,0.857099,0.875851,0.887994,0.938872
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,0.875990,0.926383,0.917562,0.906848
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,0.968143,0.744394,0.892875,0.875077
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,0.760351,0.796387,0.828300,0.822276
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,0.907574,0.926399,0.950955,0.894718
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,0.884775,0.839481,0.887913,0.882168
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,0.808905,0.841306,0.890423,0.838796
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,0.862912,0.846756,0.878943,0.915871
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,0.814704,0.862282,0.958402,0.875411
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,0.886658,0.910572,0.928244,0.893788
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,0.977466,1.009705,1.046091,1.052527
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,0.800212,0.798431,0.820770,0.805710
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0.903349,0.903600,0.852715,0.982247
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,0.895842,0.909248,0.911130,0.876707
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,0.812299,0.779773,0.890632,0.899277
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,0.815750,0.837085,1.038303,0.967103
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,0.924464375,0.917405,1.003686,0.944421
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,0.794529091,0.797495,0.810192,0.803535
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV21-1,0.957983333,0.939278,0.954469,0.873145
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,0.908369,0.926190,1.002954,0.996470
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,0.805481818,0.823508,0.926769,0.902094
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0.858629167,0.851855,0.949676,0.954358
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,0.817475625,0.863440,0.936788,0.885873
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,0.904102,0.951290,0.995801,1.052192
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,0.8979525,0.899738,0.904071,0.913640
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,0.87097,0.852773,0.882086,0.888719
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,0.884524,0.878728,0.899545,0.961832
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,0.886364667,0.871305,0.886621,0.867676
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,0.781294545,0.874621,0.896263,0.865950
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,0.932214,0.911632,0.974131,0.980908
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,0.864580909,0.822527,1.001490,0.944231
C57 3165,f,psilocybin,c57,cell2,cell2_1,cell2_1,530,FOV10-1,0.775729444,0.912542,0.904698,0.883241
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,0.867025714,0.849217,0.975314,0.943760
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0.819793889,0.838340,0.948278,0.904634
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,0.854475714,0.922480,0.922261,0.935660
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,0.979672308,0.902973,0.977107,1.019060
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,0.9268175,0.866635,0.925772,0.921556
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,0.82328,0.933720,1.028741,1.040238
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,0.723019444,0.745313,0.910096,1.025556
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,0.864200,0.931636,0.902200,0.772080
C57 811,f,saline,c57,NA,NA,NA,NA,FOV13-1,0.694600,0.823754,0.809800,0.785800
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,1.028160,0.928050,0.995143,0.962031
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,1.009976,0.984000,0.976133,1.060286
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV3-1,0.981600,0.962311,0.888622,0.957257
C57 1-1,f,saline,c57,cell6,cell6_1,NA,770,FOV6-1,0.866836,0.819323,0.743520,0.793091
C57 1-1,f,saline,c57,cell4,cell4_1,cell4_1,800+,FOV7-1,0.769292,0.810462,0.796062,0.860640
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,0.804000,0.723927,0.738327,0.822327
C57 1-1,f,saline,c57,cell4,cell4_2,cell4_2,800+,FOV11-2,0.841000,0.854880,0.730800,0.896229
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,0.784286,0.839446,0.758000,0.850473
C57 1-1,f,saline,c57,cell3,cell3_1,NA,730,FOV14-1,0.942109,0.853292,0.898560,0.905520
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,0.876738,0.822514,0.781477,0.853280
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,0.896914,0.965760,0.817846,0.787029
C57 1-1,f,saline,c57,cell7,cell7_2,cell7_2,690,FOV25-1,0.758800,0.846000,0.815345,0.764509
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,0.786600,0.776550,0.814306,0.898500
C57 1-1,f,saline,c57,cell12,cell12_1,NA,610,FOV32-1,0.951600,0.857400,0.918000,1.000500
C57 1-1,f,saline,c57,cell11,cell11_1,NA,740,FOV33-1,0.784800,0.796286,0.846000,0.715385
