mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_1_existing,day_1_new,day_3_existing,day_3_new1,day_3_new3,day_3_allnew
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,0.911632,1.00902,0.99176375,1.03663,0.68272,0.91866
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,1.075116667,0.87599,1.09687,0.98392,1.04416,1.01404
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,0.991808571,0.85842,1.039893,0.84085,0.75802,0.7787275
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,1.024466154,0.97639,1.016048,0.919496667,0.651345,0.812236
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0.945015,0.69527,1.018522143,NA,0.79818,0.79818
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,0.913891,0.842523333,0.920713636,NA,0.696106667,0.696106667
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,0.844458125,0.789813333,0.905930714,0.786885,0.73543,0.769733333
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,0.939330588,0.742541667,0.959410588,0.96384,0.56475,0.764295
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,0.9669775,0.769315,0.932980211,0.806546667,0.829304,0.87818625
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,0.945911429,0.8000625,1.04416,0.73041,0.58483,0.672178
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,0.8283,0.8283,0.819305833,0.892305,0.71786,0.834156667
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,0.940565455,0.9795275,0.885801818,0.99647,0.89105,0.94376
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,0.94376,0.72037,1.04259125,0.50702,0.65511,0.625492
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,0.907250909,0.70531,0.849133,0.73543,NA,0.73543
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,0.903767333,0.69276,0.944835714,0.980155,0.648835,0.814495
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,0.967490909,0.85842,0.938991,0.56726,0.666405,0.663476667
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,0.950732222,0.827045,0.924516667,0.89105,0.61997,0.75551
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,1.080669091,0.85591,1.126761818,0.975135,0.721625,0.84838
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,0.83081,0.784626,0.828539048,0.78814,0.6946425,0.725808333
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0.88571625,0.764713333,1.01937375,0.937066667,0.82077,0.9079925
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,0.935728,0.829136667,0.930069091,0.754255,0.53463,0.681046667
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,0.89858,0.869966,0.921379167,0.88603,0.79316,0.855073333
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,1.0498075,0.94627,0.99552875,0.94627,0.76053,0.8534
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,1.028920714,0.827045,0.980872143,0.59738,0.9036,0.842356
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,0.815293636,0.791486667,0.820313636,0.774753333,0.70531,0.7573925
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,1.041399,0.81073,1.106631111,0.804455,0.764713333,0.79818
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,0.969544545,0.691505,0.942390909,0.78814,0.794415,0.7912775
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0.969278333,0.832065,0.9669775,1.02659,0.909624,0.929118333
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,0.985892143,0.7649225,0.906566364,0.77559,0.937485,0.840348
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,1.004358571,0.87599,1.062502308,0.84838,1.12197,0.985175
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,0.911902308,0.870133333,0.945194286,0.699035,0.91113,0.850531429
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,0.8941875,0.809475,0.9004625,0.75802,0.8785,0.81826
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,0.965346,0.68021,0.999733,0.899416667,0.86595,0.88603
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,0.923486923,0.766805,0.894815,0.855073333,0.57981,0.7862575
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,0.926874545,0.7279,0.897439091,0.51957,NA,0.51957
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,0.975553333,0.96133,0.990892222,NA,0.89105,0.89105
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,1.043602222,0.9067375,1.041092222,0.84336,0.801945,0.819694286
C57 3165,f,psilocybin,c57,#N/A,#N/A,#N/A,#N/A,FOV9-1,0.900755333,0.96384,0.896572,0.8283,0.81073,0.816586667
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,0.9830415,0.82077,0.972067222,0.80822,0.819096667,0.8163775
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0.972721538,0.789395,0.940477692,0.78312,0.79316,0.78814
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,0.9408735,0.79818,0.93874,1.07679,0.73292,0.904855
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,1.031153636,0.778936667,1.081581818,0.87599,0.8828925,0.881512
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,0.945813636,0.70531,0.952430909,NA,0.751745,0.751745
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,1.034956667,0.99145,1.11444,0.85842,0.804036667,0.8176325
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,0.895599375,1.14205,1.016382667,NA,1.09436,1.09436
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,0.9096,0.8208,0.800533333,0.516,NA,0.516
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,0.995142857,NA,0.9918,NA,0.6048,0.6048
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,1.0014,0.774,1.060285714,NA,NA,NA
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,0.74472,0.6744,0.834,NA,0.7056,0.7056
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,0.764509091,0.6864,0.8504,0.9384,0.7632,0.8508
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,0.7948,0.6216,0.8784,0.6744,0.8208,0.7842
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,0.85056,0.7088,0.8445,0.696,0.7176,0.7104
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,0.836,0.6516,0.924738462,0.8112,0.7716,0.7848
C57 1-1,f,saline,c57,cell12,cell12_1,NA,610,FOV32-1,0.9436,0.6876,0.99072,1.1472,NA,1.1472
C57 1-1,f,saline,c57,cell11,cell11_1,NA,740,FOV33-1,0.8608,0.7572,0.7206,0.6528,NA,0.6528
C57 1-1,f,saline,c57,cell16,cell16_1,NA,640,FOV39-1,0.736581818,0.5712,0.74352,NA,0.5448,0.5448
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV42-1,0.84144,0.5448,0.777085714,NA,0.8004,0.8004
C57 1-1,f,saline,c57,cell14,cell14_1,cell14_1,660,FOV47-1,0.815314286,0.4608,0.855942857,NA,0.6936,0.6936
C57 1-1,f,saline,c57,cell14,cell14_2,cell14_2,660,FOV47-2,0.791657143,0.5712,0.876685714,0.6024,0.6912,0.669
C57 844,f,saline,c57,cell2,cell2_1,NA,640,FOV7-1,0.888,NA,0.831428571,NA,0.5976,0.5976
C57 844,f,saline,c57,cell3,cell3_1,NA,660,FOV9-1,0.959733333,0.6024,0.8464,NA,NA,NA
C57 3136,f,saline,c57,cell1,cell1_1,NA,500,FOV4-1,0.961028571,0.7032,0.903085714,0.8568,NA,0.8568
C57 3136,f,saline,c57,cell2,cell2_2,cell2_2,NA,FOV7-2,1.024457143,0.84,0.909257143,NA,0.7152,0.7152
C57 3136,f,saline,c57,cell2,cell2_3,cell2_3,NA,FOV8-1,0.8364,0.9216,0.827446154,1.2288,0.696,0.7848
C57 3136,f,saline,c57,cell2,cell2_4,cell2_4,NA,FOV9-1,0.9294,0.7272,0.936342857,0.936,0.4504,0.4504
C57 JAX,m,saline,c57,cell2,cell2_1,NA,490,FOV1-1,0.8916,0.7248,0.957230769,0.9816,0.999,0.99552
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,0.916533333,0.6992,0.900266667,0.6096,NA,0.6096
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,0.895938462,0.6528,0.818,NA,0.5424,0.5424
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,0.882872727,0.8568,0.87248,0.888,0.7932,0.8406
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,0.87405,0.7356,0.88816,NA,0.8248,0.8248
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,0.895384615,0.8448,0.857454545,NA,1.0416,1.0416
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,0.9742,0.6408,0.944072727,0.9528,0.8022,0.83232
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,0.888,0.6966,0.865866667,0.8952,0.8448,0.852
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,0.869557895,0.6684,0.837882353,1.0476,0.768,NA
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,0.9388,1.1832,0.9396,NA,0.8448,0.8448
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,0.90192,0.8661,0.847371429,1.3464,1.2192,1.2828
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,0.977333333,1.05,0.912282353,1.092,NA,1.092
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,0.839261538,0.7632,0.9354,0.84,NA,0.84
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,0.9717,0.8448,0.901866667,1.0872,NA,1.0872
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,0.9248,0.7848,0.9327,NA,0.5752,0.5752
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,0.9408,0.6444,0.8661,0.6624,0.75,0.7208
