mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,new,day_1,day_3
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,0,0.83081,0.828539048
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0,0.88571625,1.01937375
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,0,0.935728,0.930069091
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,0,0.89858,0.921379167
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,0,1.0498075,0.99552875
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,0,1.028920714,0.980872143
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,0,0.815293636,0.820313636
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,0,1.041399,1.106631111
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,0,0.969544545,0.942390909
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0,0.969278333,0.9669775
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,0,0.985892143,0.906566364
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,0,1.004358571,1.062502308
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,0,0.911902308,0.945194286
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,0,0.8941875,0.9004625
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,0,0.965346,0.999733
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,0,0.923486923,0.894815
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,0,0.926874545,0.897439091
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,0,0.975553333,0.990892222
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,0,1.043602222,1.041092222
C57 3165,f,psilocybin,c57,#N/A,#N/A,#N/A,#N/A,FOV9-1,0,0.900755333,0.896572
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,0,0.9830415,0.972067222
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0,0.972721538,0.940477692
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,0,0.9408735,0.93874
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,0,1.031153636,1.081581818
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,0,0.945813636,0.952430909
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,0,1.034956667,1.11444
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,0,0.895599375,1.016382667
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,0,0.9096,0.800533333
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,0,0.995142857,0.9918
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,0,1.0014,1.060285714
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,0,0.74472,0.834
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,0,0.764509091,0.8504
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,0,0.7948,0.8784
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,0,0.85056,0.8445
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,0,0.836,0.924738462
C57 1-1,f,saline,c57,cell12,cell12_1,NA,610,FOV32-1,0,0.9436,0.99072
C57 1-1,f,saline,c57,cell11,cell11_1,NA,740,FOV33-1,0,0.8608,0.7206
C57 1-1,f,saline,c57,cell16,cell16_1,NA,640,FOV39-1,0,0.736581818,0.74352
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV42-1,0,0.84144,0.777085714
C57 1-1,f,saline,c57,cell14,cell14_1,cell14_1,660,FOV47-1,0,0.815314286,0.855942857
C57 1-1,f,saline,c57,cell14,cell14_2,cell14_2,660,FOV47-2,0,0.791657143,0.876685714
C57 844,f,saline,c57,cell2,cell2_1,NA,640,FOV7-1,0,0.888,0.831428571
C57 844,f,saline,c57,cell3,cell3_1,NA,660,FOV9-1,0,0.959733333,0.8464
C57 3136,f,saline,c57,cell1,cell1_1,NA,500,FOV4-1,0,0.961028571,0.903085714
C57 3136,f,saline,c57,cell2,cell2_2,cell2_2,NA,FOV7-2,0,1.024457143,0.909257143
C57 3136,f,saline,c57,cell2,cell2_3,cell2_3,NA,FOV8-1,0,0.8364,0.827446154
C57 3136,f,saline,c57,cell2,cell2_4,cell2_4,NA,FOV9-1,0,0.9294,0.936342857
C57 JAX,m,saline,c57,cell2,cell2_1,NA,490,FOV1-1,0,0.8916,0.957230769
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,0,0.916533333,0.900266667
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,0,0.895938462,0.818
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,0,0.882872727,0.87248
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,0,0.87405,0.88816
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,0,0.895384615,0.857454545
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,0,0.9742,0.944072727
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,0,0.888,0.865866667
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,0,0.869557895,0.837882353
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,0,0.9388,0.9396
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,0,0.90192,0.847371429
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,0,0.977333333,0.912282353
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,0,0.839261538,0.9354
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,0,0.9717,0.901866667
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,0,0.9248,0.9327
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,0,0.9408,0.8661
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,1,1.104,0.9592
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,1,0.7224,0.7548
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,1,0.7248,0.8064
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,1,0.8868,1.0728
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,1,0.7488,NA
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,1,1.0248,NA
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,1,0.8208,NA
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,1,0.8292,0.7032
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,1,0.8652,0.8952
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,1,0.7224,0.7248
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,1,0.6744,NA
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,1,0.7008,0.732
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,1,0.5448,NA
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,1,0.7248,0.5688
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,1,NA,NA
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,1,0.954,NA
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,1,0.8832,0.648
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,1,NA,NA
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,1,0.9048,NA
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,1,0.9708,0.6576
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,1,0.9354,1.023
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,1,0.286,NA
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,1,0.6144,NA
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,1,0.75552,0.8264
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,1,0.8436,NA
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,1,0.6864,1.0296
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,1,0.9054,0.7272
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,1,0.7448,0.8208
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,1,0.8164,0.7584
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,1,0.873,0.8928
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,1,NA,NA
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,1,0.8916,0.7272
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,1,NA,NA
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,1,0.7596,1.0776
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,1,0.8216,0.7344
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,1,0.7224,NA
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,1,0.9792,0.8628
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,1,0.6744,0.5424
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,1,NA,NA
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,1,NA,NA
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,1,0.9,0.8424
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,1,0.732,0.7848
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,1,0.6216,NA
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,1,0.8568,NA
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,1,0.7356,0.6288
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,1,0.7284,NA
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,1,0.5196,0.51
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,1,NA,NA
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,1,0.9528,NA
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,1,0.7032,NA
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,1,0.7456,0.6876
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,1,0.8412,0.7248
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,1,0.6648,0.8964
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,1,0.7632,0.8616
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,1,1.0296,0.8496
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,1,0.7068,NA
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,1,0.7848,0.9216
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,1,0.9528,NA
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,1,0.6024,0.6408
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,1,0.8784,NA
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,1,0.7392,0.8784
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,1,0.796,0.8376
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,1,0.5664,0.6144
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,1,NA,NA
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,1,0.6444,0.834
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,1,0.8136,0.8952
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,1,0.8448,0.9744
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,1,0.7344,NA
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,1,0.9816,NA
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,1,1.00902,1.03663
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,1,0.87599,0.98392
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,1,0.85842,0.84085
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,1,0.97639,0.919496667
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,1,0.69527,NA
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,1,0.842523333,NA
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,1,0.789813333,0.786885
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,1,0.742541667,0.96384
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,1,0.769315,0.806546667
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,1,0.8000625,0.73041
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,1,0.8283,0.892305
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,1,0.9795275,0.99647
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,1,0.72037,0.50702
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,1,0.70531,0.73543
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,1,0.69276,0.980155
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,1,0.85842,0.56726
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,1,0.827045,0.89105
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,1,0.85591,0.975135
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,1,0.784626,0.78814
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,1,0.764713333,0.937066667
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,1,0.829136667,0.754255
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,1,0.869966,0.88603
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,1,0.94627,0.94627
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,1,0.827045,0.59738
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,1,0.791486667,0.774753333
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,1,0.81073,0.804455
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,1,0.691505,0.78814
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,1,0.832065,1.02659
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,1,0.7649225,0.77559
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,1,0.87599,0.84838
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,1,0.870133333,0.699035
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,1,0.809475,0.75802
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,1,0.68021,0.899416667
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,1,0.766805,0.855073333
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,1,0.7279,0.51957
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,1,0.96133,NA
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,1,0.9067375,0.84336
C57 3165,f,psilocybin,c57,#N/A,#N/A,#N/A,#N/A,FOV9-1,1,0.96384,0.8283
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,1,0.82077,0.80822
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,1,0.789395,0.78312
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,1,0.79818,1.07679
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,1,0.778936667,0.87599
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,1,0.70531,NA
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,1,0.99145,0.85842
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,1,1.14205,NA
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,1,0.8208,0.516
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,1,NA,NA
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,1,0.774,NA
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,1,0.6744,NA
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,1,0.6864,0.9384
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,1,0.6216,0.6744
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,1,0.7088,0.696
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,1,0.6516,0.8112
