mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0.446370782,0.48160559,0.432117726,0.366885636
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,0.592700433,0.528938443,0.548856217,0.546308495
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0.474165488,0.457948775,0.411747146,0.394414211
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0.694307297,0.661914896,0.6404719,0.646544844
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0.403566886,0.430499953,0.375092065,0.347747466
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0.512660563,0.491954797,0.413394904,0.371808642
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,0.331059598,0.277300205,0.254716861,0.255987403
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.391230439,0.445614926,0.385151387,0.395240774
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0.410785345,0.443558805,0.374442081,0.367436323
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.496783032,0.459498687,0.46502901,0.516954772
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0.551160898,0.488885494,0.54595815,0.576538718
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,0.469821848,0.478658781,0.488101852,0.437211987
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0.510423071,0.563411759,0.558232747,0.568022869
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0.440919191,0.509255723,0.542705495,0.489313874
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV15-1,0.626198649,0.580323149,0.574208914,0.614912363
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-1,0.458347447,0.394893057,0.419445689,0.34979981
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0.422460834,0.445337098,0.424058737,0.425048084
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0.45930342,0.473731584,0.550478109,0.478251512
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV21-1,0.433367704,0.477802871,0.494219333,0.443229293
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV1-1,0.327422806,0.280706032,0.291205107,0.292890461
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV6-1,0.488336755,0.523250642,0.529445089,0.496149877
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV8-1,0.405632689,0.374938229,0.405965478,0.332517311
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,0.696402039,0.593778978,0.65405218,0.584773663
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,0.617821303,0.614818982,0.699639919,0.812591924
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,0.432079295,0.580164747,0.48445411,0.531817685
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,0.428481937,0.456017796,0.464320321,0.474593948
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0.62112152,0.634755031,0.697630614,0.585647764
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0.365951841,0.426574837,0.433551528,0.379454799
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0.361125947,0.361545186,0.365099017,0.394808625
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0.713029763,0.680107535,0.651346379,0.691643221
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0.376575825,0.395463727,0.393939394,0.369058164
KO 3041,m,saline,ko,NA,NA,NA,NA,FOV3-1,0.744772442,0.687615697,0.681170075,0.698117526
KO 3041,m,saline,ko,cell1,cell1_2,cell1_2,720,FOV5-1,0.296413356,0.314854805,0.315555962,0.296972451
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,0.62280256,0.561575226,0.592006287,0.564708434
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,0.412568486,0.420168067,0.364660473,0.437705722
KO 823,f,saline,ko,cell1,cell1_2,cell1_2,820,FOV9-1,0.462049797,0.386407349,0.396725428,0.386730316
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,0.388539635,0.377126901,0.36923904,0.350895573
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,0.473646319,0.490006321,0.444492186,0.375146682
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,0.421325088,0.452006003,0.445916961,0.527296561
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,0.502548058,0.518174988,0.528680941,0.475415562
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,0.45535744,0.503754459,0.457053849,0.499292706
KO 823,f,saline,ko,cell5,cell5_3,cell5_3,670,FOV25-1,0.426091878,0.499972025,0.478895552,0.458339254
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,0.368971014,0.335654284,0.387016824,0.404959539
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,0.498540577,0.492815078,0.4751351,0.454095193
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,0.586690425,0.619997396,0.510379199,0.580917925
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,0.526315789,0.590849181,0.554763257,0.577779429
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,0.479816262,0.478775993,0.457984502,0.434135299
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,0.404005399,0.402154925,0.380674286,0.424754704
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,0.418285256,0.413036421,0.464093507,0.475591766
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,0.400345316,0.474585924,0.391924782,0.434436162
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,0.485918308,0.443826244,0.569482568,0.484860239
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV7-2,0.612802673,0.554125987,0.571228641,0.654169604
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,0.915738803,1.039964808,1.044795612,1.030435988
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,0.492129213,0.534267077,0.619997396,0.56978826
