mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3,day_5,day_7,day_35,day_65
pons_06-3,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV4-1,1.368573684,1.595064706,1.575765714,1.652759167,1.54,1.363958095,1.26203,1.377222
pons_06-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-2,1.113684,1.35388,1.296918333,1.13696,1.544824286,1.218004615,1.33012,1.3258575
pons_06-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,1.286095556,1.3688125,1.371871111,1.302444,1.46531,1.303304444,1.393516667,1.42054
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV7-1,1.073735385,1.738904444,1.40756,1.308874286,1.28986,1.363401111,1.180018889,1.392844444
pons_06-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV8-1,1.69994,1.331372308,1.446122857,1.420741667,1.489855714,1.47862,1.467972,1.496528
pons_06-3,f,psilocybin,pt,cell3,cell3_1,NA,NA,FOV9-1,1.25224,1.24982,1.344137143,1.43385,1.410301538,1.652341429,1.38908,1.314786
pons_06-3,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV10-1,1.531673846,1.319764286,1.483805714,1.26192,1.20410125,1.323553846,1.19306,1.094041667
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV10-2,1.3453,1.36466,1.5851,1.663548333,1.4465,1.73635,1.291312,1.574675385
pons_08-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV2-1,1.443011429,1.286028333,1.424734667,1.34809125,1.327289333,1.381075385,1.26687,1.172317143
pons_08-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-1,1.3651825,1.422798667,1.361008,1.429547778,1.340043158,1.435328889,1.25356,1.492121053
pons_08-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,1.321925,1.47499,1.494551667,1.262867692,1.388475,1.393113333,1.371102857,1.41615375
pons_08-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV13-1,1.45442,1.273525,1.432070588,1.562038824,1.496612174,1.3403775,1.311102222,1.2727
pons_08-3,f,psilocybin,pt,cell2,cell2_1,cell2_1,NA,FOV14-1,1.5807,1.56508,1.686941667,1.361715385,1.348684615,1.648206154,1.514747143,1.62261
pons_08-3,f,psilocybin,pt,cell2,cell2_2,cell2_2,NA,FOV18-1,1.396743333,1.339873333,1.450185,1.5388175,1.780774286,1.2708025,1.574613333,1.477006667
pons_08-3,f,psilocybin,pt,cell2,cell2_3,cell2_3,NA,FOV18-2,1.28139,1.342169231,1.396858571,1.470987692,1.5497075,1.6346,1.547186667,1.557961429
pons_08-3,f,psilocybin,pt,cell2,cell2_4,cell2_4,NA,FOV19-1,1.429847692,1.318527692,1.365917143,1.235316923,1.397031429,1.319168889,1.327051579,1.361814667
pons_08-1,m,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1,1.15313,1.107553333,1.449176667,1.302161667,1.279776667,1.269693333,1.01838,1.2122
